HCPCS,Mod,Mod2,CATG,TX (NR),TX (R),Description
E0946,RR,,CR,71.67,0,Fracture frame dual w cross
E0947,NU,,IN,734.65,0,Fracture frame attachmnts pe
E0947,RR,,IN,76.17,0,Fracture frame attachmnts pe
E0947,UE,,IN,550.96,0,Fracture frame attachmnts pe
E0948,NU,,IN,710.56,0,Fracture frame attachmnts ce
E0948,RR,,IN,71.03,0,Fracture frame attachmnts ce
E0948,UE,,IN,501.18,0,Fracture frame attachmnts ce
E0950,NU,,IN,92.99,115.07,Tray
E0950,NU,KE,IN,0,124.33,Tray
E0950,NU,KU,IN,127.69,0,Tray
E0950,RR,,IN,9.3,11.52,Tray
E0950,RR,KE,IN,0,12.45,Tray
E0950,RR,KU,IN,12.79,0,Tray
E0950,UE,,IN,69.74,86.3,Tray
E0950,UE,KE,IN,0,93.25,Tray
E0950,UE,KU,IN,95.77,0,Tray
E0951,NU,,IN,15.11,18.74,Loop heel
E0951,NU,KE,IN,0,20.18,Loop heel
E0951,NU,KU,IN,19.83,0,Loop heel
E0951,RR,,IN,1.51,1.9,Loop heel
E0951,RR,KE,IN,0,2.05,Loop heel
E0951,RR,KU,IN,2.03,0,Loop heel
E0951,UE,,IN,11.33,14.05,Loop heel
E0951,UE,KE,IN,0,15.13,Loop heel
E0951,UE,KU,IN,14.86,0,Loop heel
E0952,NU,,IN,20.7,20.7,"Toe loop/holder, each"
E0952,NU,KE,IN,0,22.22,"Toe loop/holder, each"
E0952,NU,KU,IN,20.71,0,"Toe loop/holder, each"
E0952,RR,,IN,2.07,2.08,"Toe loop/holder, each"
E0952,RR,KE,IN,0,2.23,"Toe loop/holder, each"
E0952,RR,KU,IN,2.09,0,"Toe loop/holder, each"
E0952,UE,,IN,15.52,15.52,"Toe loop/holder, each"
E0952,UE,KE,IN,0,16.67,"Toe loop/holder, each"
E0952,UE,KU,IN,15.52,0,"Toe loop/holder, each"
E0953,NU,,IN,93.64,111.97,W/C LATERAL THIGH/KNEE SUP
E0953,NU,KE,IN,0,120.74,W/C LATERAL THIGH/KNEE SUP
E0953,NU,KU,IN,121.07,0,W/C LATERAL THIGH/KNEE SUP
E0953,RR,,IN,9.36,11.2,W/C LATERAL THIGH/KNEE SUP
E0953,RR,KE,IN,0,12.07,W/C LATERAL THIGH/KNEE SUP
E0953,RR,KU,IN,12.1,0,W/C LATERAL THIGH/KNEE SUP
E0953,UE,,IN,70.23,83.98,W/C LATERAL THIGH/KNEE SUP
E0953,UE,KE,IN,0,90.56,W/C LATERAL THIGH/KNEE SUP
E0953,UE,KU,IN,90.81,0,W/C LATERAL THIGH/KNEE SUP
E0954,NU,,IN,65.3,69.09,"FOOT BOX, ANY TYPE EACH FOOT"
E0954,NU,KE,IN,0,74.21,"FOOT BOX, ANY TYPE EACH FOOT"
E0954,NU,KU,IN,70.36,0,"FOOT BOX, ANY TYPE EACH FOOT"
E0954,RR,,IN,6.53,6.94,"FOOT BOX, ANY TYPE EACH FOOT"
E0954,RR,KE,IN,0,7.46,"FOOT BOX, ANY TYPE EACH FOOT"
E0954,RR,KU,IN,7.09,0,"FOOT BOX, ANY TYPE EACH FOOT"
E0954,UE,,IN,48.97,51.8,"FOOT BOX, ANY TYPE EACH FOOT"
E0954,UE,KE,IN,0,55.65,"FOOT BOX, ANY TYPE EACH FOOT"
E0954,UE,KU,IN,52.72,0,"FOOT BOX, ANY TYPE EACH FOOT"
E0955,RR,,CR,17.51,22.18,Cushioned headrest
E0955,RR,KE,CR,0,23.98,Cushioned headrest
E0955,RR,KU,CR,24.83,0,Cushioned headrest
E0956,NU,,IN,93.64,111.97,W/c lateral trunk/hip suppor
E0956,NU,KE,IN,0,120.74,W/c lateral trunk/hip suppor
E0956,NU,KU,IN,121.07,0,W/c lateral trunk/hip suppor
E0956,RR,,IN,9.36,11.2,W/c lateral trunk/hip suppor
E0956,RR,KE,IN,0,12.07,W/c lateral trunk/hip suppor
E0956,RR,KU,IN,12.1,0,W/c lateral trunk/hip suppor
E0956,UE,,IN,70.23,83.98,W/c lateral trunk/hip suppor
E0956,UE,KE,IN,0,90.56,W/c lateral trunk/hip suppor
E0956,UE,KU,IN,90.81,0,W/c lateral trunk/hip suppor
E0957,NU,,IN,150.34,165.62,W/c medial thigh support
E0957,NU,KE,IN,0,177.9,W/c medial thigh support
E0957,NU,KU,IN,169.44,0,W/c medial thigh support
E0957,RR,,IN,15.04,16.56,W/c medial thigh support
E0957,RR,KE,IN,0,17.79,W/c medial thigh support
E0957,RR,KU,IN,16.96,0,W/c medial thigh support
E0957,UE,,IN,112.76,124.22,W/c medial thigh support
E0957,UE,KE,IN,0,133.43,W/c medial thigh support
E0957,UE,KU,IN,127.06,0,W/c medial thigh support
E0958,RR,,CR,50.79,56.36,Whlchr att- conv 1 arm drive
E0958,RR,KU,CR,56.85,0,Whlchr att- conv 1 arm drive
E0959,NU,,IN,54.21,60.6,Amputee adapter
E0959,NU,KU,IN,61.64,0,Amputee adapter
E0959,RR,,IN,5.42,6.07,Amputee adapter
E0959,RR,KU,IN,6.17,0,Amputee adapter
E0959,UE,,IN,40.66,45.44,Amputee adapter
E0959,UE,KU,IN,46.23,0,Amputee adapter
E0960,NU,,IN,89.21,104.64,W/c shoulder harness/straps
E0960,NU,KE,IN,0,112.74,W/c shoulder harness/straps
E0960,NU,KU,IN,111.76,0,W/c shoulder harness/straps
E0960,RR,,IN,8.92,10.47,W/c shoulder harness/straps
E0960,RR,KE,IN,0,11.29,W/c shoulder harness/straps
E0960,RR,KU,IN,11.21,0,W/c shoulder harness/straps
E0960,UE,,IN,66.91,78.49,W/c shoulder harness/straps
E0960,UE,KE,IN,0,84.56,W/c shoulder harness/straps
E0960,UE,KU,IN,83.83,0,W/c shoulder harness/straps
E0961,NU,,IN,24.17,33.86,Wheelchair brake extension
E0961,NU,KU,IN,40.17,0,Wheelchair brake extension
E0961,RR,,IN,2.42,3.59,Wheelchair brake extension
E0961,RR,KU,IN,4.43,0,Wheelchair brake extension
E0961,UE,,IN,18.12,20.91,Wheelchair brake extension
E0961,UE,KU,IN,21.13,0,Wheelchair brake extension
E0966,NU,,IN,88.46,98.56,Wheelchair head rest extensi
E0966,NU,KU,IN,101.72,0,Wheelchair head rest extensi
E0966,RR,,IN,8.85,9.79,Wheelchair head rest extensi
E0966,RR,KU,IN,10.04,0,Wheelchair head rest extensi
E0966,UE,,IN,66.35,73.92,Wheelchair head rest extensi
E0966,UE,KU,IN,76.28,0,Wheelchair head rest extensi
E0967,NU,,IN,87.64,93.56,Man wc rim/projection rep ea
E0967,NU,KU,IN,93.56,0,Man wc rim/projection rep ea
E0967,RR,,IN,8.76,9.36,Man wc rim/projection rep ea
E0967,RR,KU,IN,9.37,0,Man wc rim/projection rep ea
E0967,UE,,IN,65.73,70.18,Man wc rim/projection rep ea
E0967,UE,KU,IN,70.16,0,Man wc rim/projection rep ea
E0968,RR,,CR,25.54,0,Wheelchair commode seat
E0969,NU,,IN,203.12,0,Wheelchair narrowing device
E0969,RR,,IN,20.33,0,Wheelchair narrowing device
E0969,UE,,IN,152.36,0,Wheelchair narrowing device
E0971,NU,,IN,35,51.25,Wheelchair anti-tipping devi
E0971,NU,KU,IN,61.83,0,Wheelchair anti-tipping devi
E0971,RR,,IN,3.5,5.13,Wheelchair anti-tipping devi
E0971,RR,KU,IN,6.19,0,Wheelchair anti-tipping devi
E0971,UE,,IN,26.25,38.46,Wheelchair anti-tipping devi
E0971,UE,KU,IN,46.42,0,Wheelchair anti-tipping devi
E0973,NU,,IN,62.23,95.94,W/ch access det adj armrest
E0973,NU,KE,IN,0,104.65,W/ch access det adj armrest
E0973,NU,KU,IN,120.05,0,W/ch access det adj armrest
E0973,RR,,IN,6.22,9.31,W/ch access det adj armrest
E0973,RR,KE,IN,0,10.14,W/ch access det adj armrest
E0973,RR,KU,IN,11.42,0,W/ch access det adj armrest
E0973,UE,,IN,46.67,71.96,W/ch access det adj armrest
E0973,UE,KE,IN,0,78.49,W/ch access det adj armrest
E0973,UE,KU,IN,90.02,0,W/ch access det adj armrest
E0974,NU,,IN,92.08,105.25,W/ch access anti-rollback
E0974,NU,KU,IN,111.74,0,W/ch access anti-rollback
E0974,RR,,IN,9.21,10.86,W/ch access anti-rollback
E0974,RR,KU,IN,11.84,0,W/ch access anti-rollback
E0974,UE,,IN,69.06,79.25,W/ch access anti-rollback
E0974,UE,KU,IN,84.45,0,W/ch access anti-rollback
E0978,NU,,IN,27.72,41.91,"W/c acc,saf belt pelv strap"
E0978,NU,KE,IN,0,45.6,"W/c acc,saf belt pelv strap"
E0978,NU,KU,IN,50.91,0,"W/c acc,saf belt pelv strap"
E0978,RR,,IN,2.77,4.2,"W/c acc,saf belt pelv strap"
E0978,RR,KE,IN,0,4.57,"W/c acc,saf belt pelv strap"
E0978,RR,KU,IN,5.1,0,"W/c acc,saf belt pelv strap"
E0978,UE,,IN,20.79,31.44,"W/c acc,saf belt pelv strap"
E0978,UE,KE,IN,0,34.21,"W/c acc,saf belt pelv strap"
E0978,UE,KU,IN,38.2,0,"W/c acc,saf belt pelv strap"
E0980,NU,,IN,44.13,0,Wheelchair safety vest
E0980,RR,,IN,4.41,0,Wheelchair safety vest
E0980,UE,,IN,33.08,0,Wheelchair safety vest
E0981,NU,,IN,49.23,49.23,"Seat upholstery, replacement"
E0981,NU,KE,IN,0,53.11,"Seat upholstery, replacement"
E0981,NU,KU,IN,49.22,0,"Seat upholstery, replacement"
E0981,RR,,IN,5.01,5.01,"Seat upholstery, replacement"
E0981,RR,KE,IN,0,5.4,"Seat upholstery, replacement"
E0981,RR,KU,IN,5.02,0,"Seat upholstery, replacement"
E0981,UE,,IN,37.26,37.26,"Seat upholstery, replacement"
E0981,UE,KE,IN,0,40.2,"Seat upholstery, replacement"
E0981,UE,KU,IN,37.26,0,"Seat upholstery, replacement"
E0982,NU,,IN,57.55,60.42,"Back upholstery, replacement"
E0982,NU,KE,IN,0,65.01,"Back upholstery, replacement"
E0982,NU,KU,IN,63.28,0,"Back upholstery, replacement"
E0982,RR,,IN,5.75,6.04,"Back upholstery, replacement"
E0982,RR,KE,IN,0,6.5,"Back upholstery, replacement"
E0982,RR,KU,IN,6.3,0,"Back upholstery, replacement"
E0982,UE,,IN,43.16,45.32,"Back upholstery, replacement"
E0982,UE,KE,IN,0,48.76,"Back upholstery, replacement"
E0982,UE,KU,IN,47.49,0,"Back upholstery, replacement"
E0983,RR,,CR,356.18,0,Add pwr joystick
E0984,RR,,CR,272.27,0,Add pwr tiller
E0985,RR,,CR,26.17,28.93,W/c seat lift mechanism
E0985,RR,KU,CR,28.95,0,W/c seat lift mechanism
E0986,RR,,CR,693.24,0,Man w/c powr assist syst
E0988,RR,,CR,410.2,0,Lever-activated wheel drive
E0990,NU,,IN,81.22,116.18,Wheelchair elevating leg res
E0990,NU,KE,IN,0,126.17,Wheelchair elevating leg res
E0990,NU,KU,IN,137.88,0,Wheelchair elevating leg res
E0990,RR,,IN,8.12,11.62,Wheelchair elevating leg res
E0990,RR,KE,IN,0,12.63,Wheelchair elevating leg res
E0990,RR,KU,IN,13.81,0,Wheelchair elevating leg res
E0990,UE,,IN,60.92,87.14,Wheelchair elevating leg res
E0990,UE,KE,IN,0,94.64,Wheelchair elevating leg res
E0990,UE,KU,IN,103.45,0,Wheelchair elevating leg res
E0992,NU,,IN,96.24,111.45,Wheelchair solid seat insert
E0992,NU,KU,IN,115.29,0,Wheelchair solid seat insert
E0992,RR,,IN,9.62,10.98,Wheelchair solid seat insert
E0992,RR,KU,IN,11.19,0,Wheelchair solid seat insert
E0992,UE,,IN,72.18,83.59,Wheelchair solid seat insert
E0992,UE,KU,IN,86.46,0,Wheelchair solid seat insert
E0994,NU,,IN,21.36,0,Wheelchair arm rest
E0994,RR,,IN,2.16,0,Wheelchair arm rest
E0994,UE,,IN,16.01,0,Wheelchair arm rest
E0995,NU,,IN,31.74,31.74,"Wc calf rest, pad replacemnt"
E0995,NU,KE,IN,0,34.24,"Wc calf rest, pad replacemnt"
E0995,NU,KU,IN,31.73,0,"Wc calf rest, pad replacemnt"
E0995,RR,,IN,3.18,3.18,"Wc calf rest, pad replacemnt"
E0995,RR,KE,IN,0,3.44,"Wc calf rest, pad replacemnt"
E0995,RR,KU,IN,3.2,0,"Wc calf rest, pad replacemnt"
E0995,UE,,IN,23.78,23.78,"Wc calf rest, pad replacemnt"
E0995,UE,KE,IN,0,25.65,"Wc calf rest, pad replacemnt"
E0995,UE,KU,IN,23.78,0,"Wc calf rest, pad replacemnt"
E1002,RR,,CR,463.44,480.64,Pwr seat tilt
E1002,RR,KE,CR,0,516.73,Pwr seat tilt
E1002,RR,KU,CR,497.84,0,Pwr seat tilt
E1003,RR,,CR,539.4,539.4,Pwr seat recline
E1003,RR,KE,CR,0,580.03,Pwr seat recline
E1003,RR,KU,CR,539.41,0,Pwr seat recline
E1004,RR,,CR,596.22,597.14,Pwr seat recline mech
E1004,RR,KE,CR,0,640.5,Pwr seat recline mech
E1004,RR,KU,CR,598.07,0,Pwr seat recline mech
E1005,RR,,CR,647.36,647.36,Pwr seat recline pwr
E1005,RR,KE,CR,0,696.72,Pwr seat recline pwr
E1005,RR,KU,CR,647.38,0,Pwr seat recline pwr
E1006,RR,,CR,792.95,792.95,Pwr seat combo w/o shear
E1006,RR,KE,CR,0,855.5,Pwr seat combo w/o shear
E1006,RR,KU,CR,792.95,0,Pwr seat combo w/o shear
E1007,RR,,CR,998.21,1035.97,Pwr seat combo w/shear
E1007,RR,KE,CR,0,1113.81,Pwr seat combo w/shear
E1007,RR,KU,CR,1073.72,0,Pwr seat combo w/shear
E1008,RR,,CR,1023.89,1048.84,Pwr seat combo pwr shear
E1008,RR,KE,CR,0,1126.69,Pwr seat combo pwr shear
E1008,RR,KU,CR,1073.79,0,Pwr seat combo pwr shear
E1009,NU,,IN,0,0,Add mech leg elevation
E1009,RR,,IN,0,0,Add mech leg elevation
E1009,UE,,IN,0,0,Add mech leg elevation
E1010,RR,,CR,139.14,139.82,Add pwr leg elevation
E1010,RR,KE,CR,0,150.01,Add pwr leg elevation
E1010,RR,KU,CR,140.49,0,Add pwr leg elevation
E1011,NU,,IN,0,0,Ped wc modify width adjustm
E1011,RR,,IN,0,0,Ped wc modify width adjustm
E1011,UE,,IN,0,0,Ped wc modify width adjustm
E1012,RR,,CR,139.14,139.82,Ctr mount pwr elev leg rest
E1012,RR,KU,CR,140.49,0,Ctr mount pwr elev leg rest
E1014,RR,,CR,52.06,0,Reclining back add ped w/c
E1015,NU,,IN,144.3,161.83,Shock absorber for man w/c
E1015,NU,KU,IN,163.49,0,Shock absorber for man w/c
E1015,RR,,IN,14.43,16.18,Shock absorber for man w/c
E1015,RR,KU,IN,16.35,0,Shock absorber for man w/c
E1015,UE,,IN,108.23,121.37,Shock absorber for man w/c
E1015,UE,KU,IN,122.6,0,Shock absorber for man w/c
E1016,NU,,IN,136.71,155.83,Shock absorber for power w/c
E1016,NU,KE,IN,0,167.53,Shock absorber for power w/c
E1016,NU,KU,IN,161.31,0,Shock absorber for power w/c
E1016,RR,,IN,13.67,15.59,Shock absorber for power w/c
E1016,RR,KE,IN,0,16.77,Shock absorber for power w/c
E1016,RR,KU,IN,16.16,0,Shock absorber for power w/c
E1016,UE,,IN,102.53,116.87,Shock absorber for power w/c
E1016,UE,KE,IN,0,125.64,Shock absorber for power w/c
E1016,UE,KU,IN,120.96,0,Shock absorber for power w/c
E1017,NU,,IN,0,0,Hd shck absrbr for hd man wc
E1017,RR,,IN,0,0,Hd shck absrbr for hd man wc
E1017,UE,,IN,0,0,Hd shck absrbr for hd man wc
E1018,NU,,IN,0,0,Hd shck absrber for hd powwc
E1018,RR,,IN,0,0,Hd shck absrber for hd powwc
E1018,UE,,IN,0,0,Hd shck absrber for hd powwc
E1020,RR,,CR,22.14,27.02,Residual limb support system
E1020,RR,KE,CR,0,29.18,Residual limb support system
E1020,RR,KU,CR,29.88,0,Residual limb support system
E1028,RR,,CR,15.69,21.73,W/c manual swingaway
E1028,RR,KE,CR,0,23.57,W/c manual swingaway
E1028,RR,KU,CR,25.36,0,W/c manual swingaway
E1029,RR,,CR,45.38,45.38,W/c vent tray fixed
E1029,RR,KE,CR,0,48.95,W/c vent tray fixed
E1029,RR,KU,CR,45.37,0,W/c vent tray fixed
E1030,RR,,CR,143.14,143.14,W/c vent tray gimbaled
E1030,RR,KE,CR,0,154.43,W/c vent tray gimbaled
E1030,RR,KU,CR,143.13,0,W/c vent tray gimbaled
E1031,RR,,CR,52.45,64.79,Rollabout chair with casters
E1032,RR,,CR,15.69,21.73,Wheelchair joystick drive
E1032,RR,KE,CR,0,23.57,Wheelchair joystick drive
E1032,RR,KU,CR,25.36,0,Wheelchair joystick drive
E1033,RR,,CR,15.69,21.73,Wheelchair hardware headrest
E1033,RR,KE,CR,0,23.57,Wheelchair hardware headrest
E1033,RR,KU,CR,25.36,0,Wheelchair hardware headrest
E1034,RR,,CR,15.69,21.73,Wheelchair trunk hip support
E1034,RR,KE,CR,0,23.57,Wheelchair trunk hip support
E1034,RR,KU,CR,25.36,0,Wheelchair trunk hip support
E1035,RR,,CR,718.32,833.9,Patient transfer system <300
E1036,RR,,CR,1012.11,1190.09,Patient transfer system >300
E1037,RR,,CR,125.69,149.46,"Transport chair, ped size"
E1038,RR,,CR,17.99,22.72,Transport chair pt wt<=300lb
E1039,RR,,CR,39.09,46.55,Transport chair pt wt >300lb
E1050,RR,,CR,142.56,0,Whelchr fxd full length arms
E1060,RR,,CR,179.65,0,Wheelchair detachable arms
E1070,RR,,CR,152.72,0,Wheelchair detachable foot r
E1083,RR,,CR,95.38,0,Hemi-wheelchair fixed arms
E1084,RR,,CR,139.8,0,Hemi-wheelchair detachable a
E1087,RR,,CR,180.33,0,Wheelchair lightwt fixed arm
E1088,RR,,CR,214.87,0,Wheelchair lightweight det a
E1092,RR,,CR,183.15,0,Wheelchair wide w/ leg rests
E1093,RR,,CR,157.51,0,Wheelchair wide w/ foot rest
E1100,RR,,CR,147.93,0,Whchr s-recl fxd arm leg res
E1110,RR,,CR,144.86,0,Wheelchair semi-recl detach
E1150,RR,,CR,116.25,0,Wheelchair standard w/ leg r
E1160,RR,,CR,89.09,0,Wheelchair fixed arms
E1161,RR,,CR,337.19,0,Manual adult wc w tiltinspac
E1170,RR,,CR,127.31,0,Whlchr ampu fxd arm leg rest
E1171,RR,,CR,114.22,0,Wheelchair amputee w/o leg r
E1172,RR,,CR,139.64,0,Wheelchair amputee detach ar
E1180,RR,,CR,144.42,0,Wheelchair amputee w/ foot r
E1190,RR,,CR,166.84,0,Wheelchair amputee w/ leg re
E1195,RR,,CR,179.02,0,Wheelchair amputee heavy dut
E1200,RR,,CR,124,0,Wheelchair amputee fixed arm
E1221,RR,,CR,67.72,0,Wheelchair spec size w foot
E1222,RR,,CR,92.35,0,Wheelchair spec size w/ leg
E1223,RR,,CR,105.48,0,Wheelchair spec size w foot
E1224,RR,,CR,115.66,0,Wheelchair spec size w/ leg
E1225,RR,,CR,44.86,52.76,Manual semi-reclining back
E1225,RR,KU,CR,54.75,0,Manual semi-reclining back
E1226,NU,,IN,448.17,585.26,Manual fully reclining back
E1226,NU,KU,IN,660.99,0,Manual fully reclining back
E1226,RR,,IN,44.82,59.49,Manual fully reclining back
E1226,RR,KU,IN,68.02,0,Manual fully reclining back
E1226,UE,,IN,336.13,438.92,Manual fully reclining back
E1226,UE,KU,IN,495.68,0,Manual fully reclining back
E1227,NU,,IN,336.16,0,Wheelchair spec sz spec ht a
E1227,RR,,IN,33.63,0,Wheelchair spec sz spec ht a
E1227,UE,,IN,252.16,0,Wheelchair spec sz spec ht a
E1228,RR,,CR,39.94,0,Wheelchair spec sz spec ht b
E1230,NU,,IN,2975.74,0,Power operated vehicle
E1230,RR,,IN,317.03,0,Power operated vehicle
E1230,UE,,IN,2231.8,0,Power operated vehicle
E1231,NU,,IN,0,0,Rigid ped w/c tilt-in-space
E1231,RR,,IN,0,0,Rigid ped w/c tilt-in-space
E1231,UE,,IN,0,0,Rigid ped w/c tilt-in-space
E1232,RR,,CR,304.78,0,Folding ped wc tilt-in-space
E1233,RR,,CR,315.76,0,Rig ped wc tltnspc w/o seat
E1234,RR,,CR,274.91,0,Fld ped wc tltnspc w/o seat
E1235,RR,,CR,264.72,0,Rigid ped wc adjustable
E1236,RR,,CR,233.55,0,Folding ped wc adjustable
E1237,RR,,CR,235.57,0,Rgd ped wc adjstabl w/o seat
E1238,RR,,CR,233.55,0,Fld ped wc adjstabl w/o seat
E1240,RR,,CR,146.83,0,Whchr litwt det arm leg rest
E1270,RR,,CR,112.51,0,Wheelchair lightweight leg r
E1280,RR,,CR,187.06,0,Whchr h-duty det arm leg res
E1295,RR,,CR,173.1,0,Wheelchair heavy duty fixed
E1296,NU,,IN,595.57,0,Wheelchair special seat heig
E1296,RR,,IN,60.53,0,Wheelchair special seat heig
E1296,UE,,IN,446.69,0,Wheelchair special seat heig
E1297,NU,,IN,126.72,0,Wheelchair special seat dept
E1297,RR,,IN,14.08,0,Wheelchair special seat dept
E1297,UE,,IN,95.02,0,Wheelchair special seat dept
E1298,NU,,IN,513.2,0,Wheelchair spec seat depth/w
E1298,RR,,IN,52.5,0,Wheelchair spec seat depth/w
E1298,UE,,IN,384.9,0,Wheelchair spec seat depth/w
E1310,NU,,IN,3060.36,0,Whirlpool non-portable
E1310,RR,,IN,241.78,0,Whirlpool non-portable
E1310,UE,,IN,2295.26,0,Whirlpool non-portable
E1353,,,OX,40.36,0,Oxygen supplies regulator
E1355,,,OX,30.42,0,Oxygen supplies stand/rack
E1372,NU,,IN,136.61,200.66,Oxy suppl heater for nebuliz
E1372,RR,,IN,13.66,25.33,Oxy suppl heater for nebuliz
E1372,UE,,IN,102.46,149.36,Oxy suppl heater for nebuliz
E1390,RR,,OX,98.16,177.16,Oxygen concentrator
E1390,RR,QB,OX,98.16,177.16,Oxygen concentrator
E1390,RR,QF,OX,98.16,177.16,Oxygen concentrator
E1391,RR,,OX,98.16,177.16,"Oxygen concentrator, dual"
E1391,RR,QB,OX,98.16,177.16,"Oxygen concentrator, dual"
E1391,RR,QF,OX,98.16,177.16,"Oxygen concentrator, dual"
E1392,RR,,OX,47.17,51.63,Portable oxygen concentrator
E1392,RR,QB,OX,49.08,88.58,Portable oxygen concentrator
E1392,RR,QF,OX,49.08,88.58,Portable oxygen concentrator
E1405,RR,,OX,130.33,221.6,O2/water vapor enrich w/heat
E1406,RR,,OX,105.31,192.59,O2/water vapor enrich w/o he
E1700,RR,,CR,41.78,0,Jaw motion rehab system
E1701,,,SU,14.41,0,Repl cushions for jaw motion
E1702,,,SU,27.33,0,Repl measr scales jaw motion
E1800,RR,,CR,151.41,0,Adjust elbow ext & flex dev
E1801,RR,,CR,183.86,0,Sps/pass elbow device
E1802,RR,,CR,465.75,0,Adjst forearm pro/sup device
E1803,RR,,CR,151.41,0,Adjust elbow extension dev
E1804,RR,,CR,151.41,0,Adjust elbow flexion dev
E1805,RR,,CR,153.06,0,Adjust wrist ext & flex dev
E1806,RR,,CR,150.97,0,Sps wrist device
E1807,RR,,CR,153.06,0,Adjust wrist extension dev
E1808,RR,,CR,153.06,0,Adjust elbow flexion dev
E1810,RR,,CR,153.5,0,Adjust knee ext & flex dev
E1811,RR,,CR,191.13,0,Sps/pass knee device
E1812,RR,,CR,122.55,0,Knee ext/flex w act res ctrl
E1813,RR,,CR,153.5,0,Adjust knee extension device
E1814,RR,,CR,153.5,0,Adjust knee flexion device
E1815,RR,,CR,153.5,0,Adjust ankle ext & flex dev
E1816,RR,,CR,194.17,0,Sps/pass ankle device
E1818,RR,,CR,198.21,0,Sps/pass forearm device
E1820,NU,,IN,116.5,0,Soft interface material
E1820,RR,,IN,11.63,0,Soft interface material
E1820,UE,,IN,87.39,0,Soft interface material
E1821,NU,,IN,149.98,0,Replacement interface spsd
E1821,RR,,IN,14.95,0,Replacement interface spsd
E1821,UE,,IN,112.53,0,Replacement interface spsd
E1822,RR,,CR,153.5,0,Adjust ankle extension dev
E1823,RR,,CR,153.5,0,Adjust ankle flexion device
E1825,RR,,CR,153.06,0,Adjust finger ext & flex dev
E1826,RR,,CR,153.06,0,Adjust finger extension dev
E1827,RR,,CR,153.06,0,Adjust finger flexion device
E1828,RR,,CR,153.06,0,Adjust toe extension device
E1829,RR,,CR,153.06,0,Adjust toe flexion device
E1830,RR,,CR,153.06,0,Adjust toe ext & flex device
E1831,RR,,CR,90.56,0,Static str toe dev ext/flex
E1832,RR,,CR,90.56,0,Sps finger device
E1840,RR,,CR,545.42,0,Adj shoulder ext/flex device
E1841,RR,,CR,645.57,0,Sps/pass shoulder device
E1905,RR,,CR,674.77,0,Vr cbt therapy
E2000,RR,,CR,73.87,0,Gastric suction pump hme mdl
E2001,RR,,CR,65.25,0,Suct pum ext urine mgmt sys
E2100,NU,,IN,779.12,0,Bld glucose monitor w voice
E2100,RR,,IN,77.94,0,Bld glucose monitor w voice
E2100,UE,,IN,584.37,0,Bld glucose monitor w voice
E2101,NU,,IN,268.71,0,Bld glucose monitor w lance
E2101,RR,,IN,26.88,0,Bld glucose monitor w lance
E2101,UE,,IN,201.54,0,Bld glucose monitor w lance
E2102,NU,KF,IN,239.22,0,Adju cgm receiver/monitor
E2102,RR,KF,IN,23.91,0,Adju cgm receiver/monitor
E2102,UE,KF,IN,179.42,0,Adju cgm receiver/monitor
E2103,NU,,IN,301.27,0,Non-adju cgm receiver/mon
E2103,NU,KF,IN,334.44,0,Non-adju cgm receiver/mon
E2103,RR,,IN,30.13,0,Non-adju cgm receiver/mon
E2103,RR,KF,IN,33.44,0,Non-adju cgm receiver/mon
E2103,UE,,IN,225.95,0,Non-adju cgm receiver/mon
E2103,UE,KF,IN,250.83,0,Non-adju cgm receiver/mon
E2104,NU,,IN,54.52,0,Glucose monitor w cartridge
E2104,RR,,IN,5.47,0,Glucose monitor w cartridge
E2104,UE,,IN,40.92,0,Glucose monitor w cartridge
E2120,RR,,CR,404.05,0,Pulse gen sys tx endolymp fl
E2201,NU,,IN,372.07,471.88,"Man w/ch acc seat w>=20""<24"""
E2201,NU,KU,IN,531.74,0,"Man w/ch acc seat w>=20""<24"""
E2201,RR,,IN,37.21,47.19,"Man w/ch acc seat w>=20""<24"""
E2201,RR,KU,IN,53.18,0,"Man w/ch acc seat w>=20""<24"""
E2201,UE,,IN,279.05,353.91,"Man w/ch acc seat w>=20""<24"""
E2201,UE,KU,IN,398.79,0,"Man w/ch acc seat w>=20""<24"""
E2202,NU,,IN,530.98,637.89,Seat width 24-27 in
E2202,NU,KU,IN,675.47,0,Seat width 24-27 in
E2202,RR,,IN,53.1,63.79,Seat width 24-27 in
E2202,RR,KU,IN,67.55,0,Seat width 24-27 in
E2202,UE,,IN,398.24,478.44,Seat width 24-27 in
E2202,UE,KU,IN,506.62,0,Seat width 24-27 in
E2203,NU,,IN,507.51,622.12,Frame depth less than 22 in
E2203,NU,KU,IN,682.72,0,Frame depth less than 22 in
E2203,RR,,IN,50.75,62.2,Frame depth less than 22 in
E2203,RR,KU,IN,68.27,0,Frame depth less than 22 in
E2203,UE,,IN,380.64,466.58,Frame depth less than 22 in
E2203,UE,KU,IN,511.99,0,Frame depth less than 22 in
E2204,NU,,IN,872.22,1070.95,Frame depth 22 to 25 in
E2204,NU,KU,IN,1159.22,0,Frame depth 22 to 25 in
E2204,RR,,IN,87.22,107.1,Frame depth 22 to 25 in
E2204,RR,KU,IN,115.93,0,Frame depth 22 to 25 in
E2204,UE,,IN,654.16,803.22,Frame depth 22 to 25 in
E2204,UE,KU,IN,869.41,0,Frame depth 22 to 25 in
E2205,NU,,IN,41.7,46.51,"Manual wc accessory, handrim"
